A,B,C,D
8954,"The owner is rude and abusive.

I had them confirm for my quote - twice - that I was going to go through with the order on the condition that the shirts were made in North America. After I paid for and received my shirts, the tag said they were made in Bangladesh.

Clearly, they made a mistake which I was willing to overlook as long as they remedied the situation. They offered a refund, but I was shocked when the owner then had the nerve to start an argument with me based on his ""feelings about the situation"" and yell at me over the phone for his mistake claiming that I was trying to scam him because no one could possibly expect to have a shirt printed for $30 each from North America (which, by the way, I have already found at a different store for $32 each - American Apparel)..He then proceeded to tell me how wrong I was to want shirts made in North America in the first place. His behaviour was nothing short of rude, abusive and completely inappropriate towards anyone let alone his paying customers. There are plenty of other options in Toronto.",tshirtguys,z
8955,Amazing service! Very helpful. Very pleased with my shirt design and purchase. Will be going back for more.,tshirtguys,z
8956,"Three rounds of short-run orders and these guys were gold! Special shout out to Ellen especially for handling my chaos like a pro!
Super pleased with both the quality and service.
Will be back.",tshirtguys,z
8957,"I have worked with similar companies in the past and T-Shirt Guys really stood out. Very impressed with the professionalism of the team I worked with, the speed of creation, and the quality of the product, not to mention the price itself. I highly recommend.",tshirtguys,z
8958,"Fantastic quality products, quick turn around time and overall top-notch customer service. Shout out to Katherine for going above and beyond to get us the stock we needed. Highly recommend TShirt Guys!",tshirtguys,z
8959,"I had a last minute order for a baseball game. T-shirt guys were attentive, professional, and managed to fulfil my request in a short amount of time. Ellen had empathy and cared about my satisfaction. Thank you for your patience T-shirt Guys!",tshirtguys,z
8960,Had a great experience! It was quick and reliable and we absolutely love our shirts. We'll definitely be ordering again soon!,tshirtguys,z
8961,"Ordered a few shirts recently. Quality of the shirts is great, and prints are very clear. Staff was very friendly and explained the printing process to me clearly. Will be coming back for more T-shirts in the future.",tshirtguys,z
8962,"T-shirt guys made fabulous t-shirts and tanks for the second year in a row for PushPULL Toronto's performance..We all love the color, the design, and the tanks are so soft and comfy!.Thanks again!",tshirtguys,z
8963,Our event was a huge success thanks to the help of the T-shirt Guys! Their high-quality prints added a playful element to our staff's uniform and brought a smile to guests faces as food was served.,tshirtguys,z
8964,"What a Motley Crew!
I love how I wanted to print stupid shirts for a gag and needed 8 of them and they directed me to a route that would be quick, easy and very low budget..What a bright shiny place with a cast and crew that will make you laugh then offer you a freezey in the summer or a cookie when its cold.
I stopped in a few times over the years and its forever changing and growing.
I love how they have 3 clocks side by each with toronto, hamilton and someone named Cathy all with different times.
There are a couple of really cute dogs that I was welcomed to bring my Max in to make friends with.
Everyone is always warm and friendly..Often with a side chat about what someone else suggest they all have a great eye for design and will help you make the most out of your branding.
All in all this has been my go to shop for all my cafe merch.",tshirtguys,z
